# [国字](https://jigen.net/data/%E5%9B%BD%E5%AD%97)
391: 𫚆 U+2B686
392: 𫚇 U+2B687
393: 䕷 U+4577
394: 𫚵 U+2B6B5
395: 𫚻 U+2B6BB
396: 𫚾 U+2B6BE
397: 𫛀 U+2B6C0
398: 𫛄 U+2B6C4
399: 𫛅 U+2B6C5
400: 𫛍 U+2B6CD
401: 𫛑 U+2B6D1
402: 𫛒 U+2B6D2
403: 𫛔 U+2B6D4
404: 𫛖 U+2B6D6
405: 𫛗 U+2B6D7
406: 𫛙 U+2B6D9
407: 𫜛 U+2B71B
408: 𫜤 U+2B724
409: 䗎 U+45CE
410: 䤠 U+4920
411: 䤲 U+4932
412: 䦎 U+498E
413: 䰳 U+4C33
414: 䱩 U+4C69
415: 䲈 U+4C88
416: 乄 U+4E44
417: 佦 U+4F66
418: 侤 U+4FA4
419: 俣 U+4FE3
420: 俤 U+4FE4
421: 俥 U+4FE5
422: 俧 U+4FE7
423: 働 U+50CD
424: 凧 U+51E7
425: 凩 U+51E9
426: 凪 U+51EA
427: 凮 U+51EE
428: 匁 U+5301
429: 匂 U+5302
430: 匇 U+5307
431: 叺 U+53FA
432: 呎 U+544E
433: 呏 U+544F
434: 咑 U+5491
435: 咜 U+549C
436: 哘 U+54D8
437: 喼 U+55BC
438: 噸 U+5678
439: 噺 U+567A
440: 囎 U+56CE
441: 圦 U+5726
442: 圷 U+5737
443: 圸 U+5738
444: 垈 U+5788
445: 垰 U+57B0
446: 垳 U+57B3
447: 埖 U+57D6
448: 塀 U+5840
449: 塰 U+5870
450: 墸 U+58B8
451: 墹 U+58B9
452: 壗 U+58D7
453: 妛 U+599B
454: 娚 U+5A1A
455: 婇 U+5A47
456: 婲 U+5A72
457: 嬶 U+5B36
458: 屶 U+5C76
459: 岼 U+5CBC
460: 岾 U+5CBE
461: 峅 U+5CC5
462: 峠 U+5CE0
463: 嵙 U+5D59
464: 嵶 U+5D76
465: 弖 U+5F16
466: 彁 U+5F41
467: 彅 U+5F45
468: 怺 U+603A
469: 恷 U+6077
470: 扖 U+6256
471: 扨 U+6268
472: 挘 U+6318
473: 挧 U+6327
474: 捤 U+6364
475: 掵 U+63B5
476: 暃 U+6683
477: 曻 U+66FB
478: 杁 U+6741
479: 杢 U+6762
480: 杣 U+6763
481: 杤 U+6764
482: 枠 U+67A0
483: 枡 U+67A1
484: 柾 U+67FE
485: 栂 U+6802
486: 栍 U+680D
487: 桛 U+685B
488: 桝 U+685D
489: 梺 U+68BA
490: 梻 U+68BB
491: 椙 U+6919
492: 椚 U+691A
493: 椛 U+691B
494: 椡 U+6921
495: 椣 U+6923
496: 椥 U+6925
497: 椦 U+6926
498: 椧 U+6927
499: 椨 U+6928
500: 楾 U+697E
501: 楿 U+697F
502: 榀 U+6980
503: 榁 U+6981
504: 榊 U+698A
505: 槝 U+69DD
506: 樫 U+6A2B
507: 樮 U+6A2E
508: 樰 U+6A30
509: 橲 U+6A72
510: 橳 U+6A73
511: 橸 U+6A78
512: 櫤 U+6AE4
513: 欟 U+6B1F
514: 毟 U+6BDF
515: 毮 U+6BEE
516: 汢 U+6C62
517: 溂 U+6E82
518: 濹 U+6FF9
519: 炻 U+70BB
520: 熔 U+7194
521: 熕 U+7195
522: 燵 U+71F5
523: 狆 U+72C6
524: 琑 U+7411
525: 瓧 U+74E7
526: 瓩 U+74E9
527: 瓰 U+74F0
528: 瓱 U+74F1
529: 瓲 U+74F2
530: 瓸 U+74F8
531: 瓼 U+74FC
532: 甅 U+7505
533: 畑 U+7551
534: 畠 U+7560
535: 畩 U+7569
536: 癪 U+766A
537: 硲 U+7872
538: 硴 U+7874
539: 穃 U+7A43
540: 穝 U+7A5D
541: 竍 U+7ACD
542: 竏 U+7ACF
543: 竓 U+7AD3
544: 竕 U+7AD5
545: 竡 U+7AE1
546: 竰 U+7AF0
547: 笂 U+7B02
548: 笹 U+7B39
549: 笽 U+7B3D
550: 簓 U+7C13
551: 簗 U+7C17
552: 簱 U+7C31
553: 籏 U+7C4F
554: 籡 U+7C61
555: 籵 U+7C75
556: 籾 U+7C7E
557: 粁 U+7C81
558: 粂 U+7C82
559: 粍 U+7C8D
560: 粏 U+7C8F
561: 粐 U+7C90
562: 粨 U+7CA8
563: 粫 U+7CAB
564: 粭 U+7CAD
565: 糀 U+7CC0
566: 糎 U+7CCE
567: 糘 U+7CD8
568: 紦 U+7D26
