 199: 関連字: 哘 U+54D8,  異体字: NONE
 200: 関連字: 𫩮 U+2BA6E,  異体字: NONE
 201: 関連字: 𠱚 U+20C5A,  異体字: 咔 U+5494, 哢 U+54E2, 弄 U+5F04, 𧧎 U+279CE
 202: 関連字: 𠱷 U+20C77,  異体字: NONE
 203: 関連字: NONE,  異体字: NONE
 204: 関連字: 哩 U+54E9,  異体字: 䧉 U+49C9, 喱 U+55B1
 205: 関連字: 唣 U+5523,  異体字: 哏 U+54CF, 唕 U+5515, 𱫋 U+31ACB
 206: 関連字: NONE,  異体字: NONE
 207: 関連字: NONE,  異体字: NONE
 208: 関連字: NONE,  異体字: NONE
 209: 関連字: 𠵅 U+20D45,  異体字: 㬸 U+3B38, 婲 U+5A72
 210: 関連字: 唀 U+5500,  異体字: 㛢 U+36E2, 誘 U+8A98, 诱 U+8BF1
 211: 関連字: 𠳤 U+20CE4,  異体字: NONE
 212: 関連字: 啢 U+5562,  異体字: 唡 U+5521, 脼 U+813C
 213: 関連字: 𫪛 U+2BA9B,  異体字: 𭇉 U+2D1C9
 214: 関連字: 喰 U+55B0,  異体字: 飧 U+98E7, 餐 U+9910
 215: 関連字: 𪡡 U+2A861,  異体字: NONE
 216: 関連字: 喼 U+55BC,  異体字: 急 U+6025
 217: 関連字: NONE,  異体字: NONE
 218: 関連字: 𪡨 U+2A868,  異体字: NONE
 219: 関連字: 𰈉 U+30209,  異体字: NONE
 220: 関連字: 𪡠 U+2A860,  異体字: 線 U+7DDA
 221: 関連字: NONE,  異体字: NONE
 222: 関連字: 𠸒 U+20E12,  異体字: NONE
 223: 関連字: 𠺕 U+20E95,  異体字: 媹 U+5AB9, 嵧 U+5D67, 瘤 U+7624
 224: 関連字: 𫫍 U+2BACD,  異体字: NONE
 225: 関連字: 𰈁 U+30201,  異体字: NONE
 226: 関連字: 㗛 U+35DB,  異体字: 笑 U+7B11
 227: 関連字: 𫫠 U+2BAE0,  異体字: 嗽 U+55FD, 縮 U+7E2E
 228: 関連字: NONE,  異体字: NONE
 229: 関連字: 嘇 U+5607,  異体字: 𠘆 U+20606, 𰇼 U+301FC
 230: 関連字: 𪡹 U+2A879,  異体字: 嗀 U+55C0
 231: 関連字: NONE,  異体字: NONE
 232: 関連字: 𠻻 U+20EFB,  異体字: NONE
 233: 関連字: 𫫭 U+2BAED,  異体字: NONE
 234: 関連字: 𪢊 U+2A88A,  異体字: NONE
 235: 関連字: 𫫱 U+2BAF1,  異体字: NONE
 236: 関連字: 噸 U+5678,  異体字: 吨 U+5428
