# format: {code point}: {pinyins}  # {hanzi}
# e.g.:
# U+4E2D: zhōng,zhòng  #中
U+2A061: yàn  #𪁡
U+2A0CC: yáng  #𪃌
U+2A150: mò, mù  #𪅐
U+2A164: jiān  #𪅤
U+2A190: jí  #𪆐
U+2A1A4: hēi  #𪆤
U+2A2DE: lù  #𪋞
U+2A50D: péng  #𪔍
U+2A6B2: guī  #𪚲
U+2A708: tuō  #𪜈
U+2A70C: xún  #𪜌
U+2A716: huí  #𪜖
U+2A729: gōu  #𪜩
U+2A72A: gōu  #𪜪
U+2A738: zì  #𪜸
U+2A73D: lǐ  #𪜽
U+2A746: fāng  #𪝆
U+2A758: yòu  #𪝘
U+2A75F: ruò  #𪝟
U+2A784: xiào  #𪞄
U+2A789: gòng  #𪞉
U+2A7B5: xuě  #𪞵
U+2A7C7: mào  #𪟇
U+2A7D7: jiā  #𪟗
U+2A7E7: nào  #𪟧
U+2A7F7: móu  #𪟷
U+2A845: è  #𪡅
U+2A860: quán  #𪡠
U+2A861: shī  #𪡡
U+2A868: shǐ  #𪡨
U+2A879: qìng,kēng,shēng  #𪡹
U+2A882: zhe  #𪢂
U+2A88A: zhòng  #𪢊
U+2A8A6: gēwǔ  #𪢦
U+2A8B1: kǎ  #𪢱
U+2A8E5: wǔ  #𪣥
U+2A8E8: chì  #𪣨
U+2A915: chǎn  #𪤕
U+2A959: chuí  #𪥙
U+2A963: xī  #𪥣
U+2A96E: jiù  #𪥮
U+2A972: yāo  #𪥲
U+2A97D: cháng  #𪥽
U+2A98A: è  #𪦊
U+2A98F: jì  #𪦏
U+2A9A6: chǔ  #𪦦
U+2A9A8: shǔ  #𪦨
U+2A9AE: léi  #𪦮
U+2A9BA: bái  #𪦺
U+2AA0E: jiā  #𪨎
U+2AA21: jué,juě  #𪨡
U+2AA22: xià  #𪨢
U+2AA2C: xuán  #𪨬
U+2AA46: xiè  #𪩆
U+2AA63: gōng  #𪩣
U+2AA69: suì  #𪩩
U+2AA76: lián  #𪩶
U+2AA8D: wén  #𪪍
U+2AABF: qǔ  #𪪿
U+2AAC4: shuāng  #𪫄
U+2AAE7: kě  #𪫧
U+2AAEC: zhǔ  #𪫬
U+2AAF8: què  #𪫸
U+2AB05: dàng  #𪬅
U+2AB23: lìn  #𪬣
U+2AB3F: qīng  #𪬿
U+2AB49: biǎo  #𪭉
U+2AB71: jué  #𪭱
U+2AB77: bào  #𪭷
U+2AB7C: lì  #𪭼
U+2AB87: bāo  #𪮇
U+2ABAC: xǐ  #𪮬
U+2ABB7: hé,gě  #𪮷
U+2ABC6: zhī  #𪯆
U+2AC0C: máo  #𪰌
U+2AC12: shí  #𪰒
U+2AC2A: lài  #𪰪
U+2AC40: qī  #𪱀
U+2AC64: yǒu  #𪱤
U+2AC69: lí   #𪱩
U+2AC71: xià  #𪱱
U+2AC72: shàng  #𪱲
U+2AC73: kòu  #𪱳
U+2AC76: jǐng,dǎn  #𪱶
U+2AC79: qī  #𪱹
U+2AC7B: běn  #𪱻
U+2AC86: máng,lóng  #𪲆
U+2AC87: qū  #𪲇
U+2AC92: chì  #𪲒
U+2AC93: dòu  #𪲓
U+2AC96: bǎo  #𪲖
U+2ACA2: shén  #𪲢
U+2ACA6: shǎo  #𪲦
U+2ACA8: hū  #𪲨
U+2ACAC: shì  #𪲬
U+2ACB3: fèi,bèi  #𪲳
U+2ACBC: xìn  #𪲼
U+2ACC2: shǒu  #𪳂
U+2ACC3: ān  #𪳃
U+2ACC6: yǒng  #𪳆
U+2ACC9: è  #𪳉
U+2ACCA: yǒu,shān  #𪳊
U+2ACD2: cháo  #𪳒
U+2ACD3: zhuó  #𪳓
U+2ACD6: péng  #𪳖
U+2ACE1: cǐ  #𪳡
U+2ACE2: dì  #𪳢
U+2ACE4: zào  #𪳤
U+2ACE7: zhào  #𪳧
U+2ACF1: zhōng  #𪳱
U+2ACF3: chòu,shān  #𪳳
U+2ACFA: hè  #𪳺
U+2AD00: lǐ  #𪴀
U+2AD06: cí  #𪴆
U+2AD07: zhì  #𪴇
U+2AD0E: shí  #𪴎
U+2AD10: xuě  #𪴐
U+2AD13: suī  #𪴓
U+2AD15: céng  #𪴕
U+2AD1C: shuāng  #𪴜
U+2AD20: xū,nuò,rú  #𪴠
U+2AD21: chī  #𪴡
U+2AD25: bǎo  #𪴥
U+2AD61: lù  #𪵡
U+2AD89: qióng  #𪶉
U+2ADCC: nài  #𪷌
U+2AE09: jīng  #𪸉
U+2AE22: shū  #𪸢
U+2AE2B: gèng  #𪸫
U+2AE65: jì,zhài  #𪹥
U+2AE76: shǔ,dǔ  #𪹶
U+2AE8A: yí  #𪺊
U+2AE90: qǔ  #𪺐
U+2AEB2: gòu  #𪺲
U+2AECC: hé,bào  #𪻌
U+2AED3: huǒ  #𪻓
U+2AF11: jiān  #𪼑
U+2AF2A: pán  #𪼪
U+2AF36: sì  #𪼶
U+2AF37: cí  #𪼷
U+2AF38: huǒ  #𪼸
U+2AF39: běn  #𪼹
U+2AF3B: jù  #𪼻
U+2AF3C: shǒu  #𪼼
U+2AF3F: yīng  #𪼿
U+2AF4B: liú  #𪽋
U+2AF58: lù  #𪽘
U+2AF65: pí  #𪽥
U+2AF76: lì  #𪽶
U+2AF7A: fèi  #𪽺
U+2AF97: fàn  #𪾗
U+2AFA7: líng  #𪾧
U+2AFA8: xū,yù,hào  #𪾨
U+2AFAC: luàn  #𪾬
U+2AFB2: àn  #𪾲
U+2AFB5: sù  #𪾵
U+2AFBB: què,qiāo  #𪾻
U+2AFBC: yì  #𪾼
U+2AFBF: méng,měng  #𪾿
U+2AFC8: mù  #𪿈
U+2AFD3: dǐ  #𪿓
U+2AFFC: jù  #𪿼
U+2B003: nà  #𫀃
U+2B016: chǐ  #𫀖
